x,y
7.895084381,669.8231659
38.60073185,646.0697327
61.51604748,616.2509308
77.27171993,581.0547409
116.0890636,581.5792999
154.9077187,581.9108734
193.7286148,581.9108734
222.5333176,567.6107559
243.7357292,538.6774979
279.5144615,523.6128006
318.2727203,523.3027039
355.6423721,518.4756241
388.0275116,497.0684586
424.6278152,489.3630371
463.4455261,488.8653717
497.1010361,470.2897034
532.5816498,454.9560699
569.1306839,441.8706284
604.2765198,425.500351
621.9381485,397.8986511
620.9301529,359.0908585
620.6956635,320.2730522
620.6956635,281.4521751
639.3739853,250.3680763
669.1370544,228.0419693
707.8823242,225.6203995
740.2182159,211.1464462
763.8876495,180.3760872
794.6264038,158.5256538
831.038147,146.6188011
869.7518311,143.7358627
908.4877167,141.6398392
947.3024139,142.3329506
986.1171875,143.0260715
1016.27916,122.7709541
1021.431366,86.80495834
1041.019455,58.29576111
1074.136215,39.62751007
1112.341019,32.73813581
1149.696442,22.24737263
