x,y
8.756969333,14.79016876
37.29621506,40.15838718
69.39208603,56.5086565
107.5646744,57.4511919
143.6507854,66.93851089
179.116436,71.32914639
215.9364471,61.21375656
251.0660324,61.46352386
282.7642593,82.75336838
305.2975998,111.3445721
320.2179298,145.7765446
355.526062,160.3151855
390.8341751,174.853817
427.7744446,180.8789024
465.9560547,180.4297028
501.0545883,192.2490463
532.0616684,213.0670891
550.3903351,246.113678
587.2103271,256.2290726
624.0303955,266.3444862
627.5908051,301.8144951
627.5908051,339.9987183
627.918602,378.1806335
629.1322479,415.9777603
661.807724,435.734993
699.1056213,442.1748886
736.9949493,446.911026
770.4509888,459.8792038
795.2575073,488.90802
827.710434,507.1217117
863.6895142,519.0896378
901.8669281,519.809967
940.0328217,518.7252579
978.1980286,517.5200806
1014.986893,526.3371048
1048.998581,540.7568512
1067.638336,574.0823898
1093.273102,601.4058456
1123.656708,624.5114288
1155.305573,645.8744202
